Exact 	 2nd extrapolation 	 Delta; h/4 	 Delta; 2nd extrapolation
-188.057042 	 -188.057042 	 7.882136e-09 	 8.608936e-11
-1.652741e+02 	 -1.652741e+02 	 6.851241e-08 	 9.505072e-10
-1.439617e+02 	 -1.439617e+02 	 2.983192e-07 	 5.197364e-09
-1.241199e+02 	 -1.241199e+02 	 8.806368e-07 	 1.902160e-08
-1.057487e+02 	 -1.057487e+02 	 2.006146e-06 	 5.282386e-08
-8.884805e+01 	 -8.884805e+01 	 3.790080e-06 	 1.192095e-07
-7.341802e+01 	 -7.341802e+01 	 6.206653e-06 	 2.283878e-07
-5.945858e+01 	 -5.945858e+01 	 9.062806e-06 	 3.824583e-07
-4.696972e+01 	 -4.696972e+01 	 1.201568e-05 	 5.710344e-07
-3.595145e+01 	 -3.595145e+01 	 1.462647e-05 	 7.700636e-07
-2.640377e+01 	 -2.640377e+01 	 1.643691e-05 	 9.448010e-07
-1.832668e+01 	 -1.832668e+01 	 1.705216e-05 	 1.056364e-06
-1.172017e+01 	 -1.172018e+01 	 1.621425e-05 	 1.070438e-06
-6.584259e+00 	 -6.584260e+00 	 1.385344e-05 	 9.659862e-07
-2.918932e+00 	 -2.918933e+00 	 1.010886e-05 	 7.416155e-07
-7.241930e-01 	 -7.241934e-01 	 5.314621e-06 	 4.171673e-07
-4.221946e-05 	 2.188774e-02 	 2.192948e-02 	 2.192996e-02
